[IMPORTS]

DLL: ADVAPI32.dll
 RVA: 000013DC, Hint: 1387(056B), Name: WinSqmIncrementDWORD
 RVA: 000013E0, Hint:  923(039B), Name: RtlInitUnicodeString
 RVA: 000013E4, Hint:  409(0199), Name: NtQueryLicenseValue
 RVA: 000013E8, Hint: 1371(055B), Name: WinSqmAddToStream

DLL: VERSION.dll
 RVA: 000013F0, Hint:    2(0002), Name: GetFileVersionInfoExW
 RVA: 000013F4, Hint:    4(0004), Name: GetFileVersionInfoSizeExW
 RVA: 000013F8, Hint:   14(000E), Name: VerQueryValueW

